"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H4,H2,H3,H1";"MountingHole_3.2mm_M3";4;"MountingHole";;;
2;"SW4,SW1,SW3,SW2";"SW_SPST_Omron_B3FS-100xP";4;"Omron_B3F_SPST";;;
3;"R3,R2";"R_0805_2012Metric";2;"R_0805_4.7K";;;
4;"R13";"R_0805_2012Metric";1;"R_0805_2.2K";;;
5;"Q1";"SOT-23";1;"NPN_2N3904_SOT23";;;
6;"C5";"C_0805_2012Metric";1;"C_0805_1uf";;;
7;"U2";"DIP-8_W7.62mm";1;"DS1307_DIP-8";;;
8;"R9,R10,R1,R8";"R_0805_2012Metric";4;"R_0805_10K";;;
9;"R7";"R_0805_2012Metric";1;"R_0805_100K";;;
10;"U3";"TO-252-2";1;"L7805";;;
11;"D1";"LED_0805_2012Metric";1;"LED_0805";;;
12;"R6";"R_LDR_4.9x4.2mm_P2.54mm_Vertical";1;"PhotoconductivePhotocell";;;
13;"C6,C1,C2,C7";"C_0805_2012Metric";4;"C_0805_0.1uf";;;
14;"RV1";"Potentiometer_Bourns_3386P_Vertical";1;"R_POT_10K";;;
15;"BZ1";"Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm";1;"Buzzer";;;
16;"R12,R11";"R_0805_2012Metric";2;"R_0805_47";;;
17;"DS1";"TC1602A-01T";1;"TC1602A-01T";;;
18;"R4,R5";"R_0805_2012Metric";2;"R_0805_1K";;;
19;"C4,C3";"C_0805_2012Metric";2;"C_0805_22pf";;;
20;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_16MHz";;;
21;"Y2";"Crystal_SMD_2Pin_3.2x1.5mm";1;"Crystal_32768Hz";;;
22;"U1";"DIP-28_W7.62mm";1;"ATmega328-PU";;;
23;"J2";"Wurth-694106402002";1;"Power_inlet_vertical";;;
24;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
25;"J3";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06";;;
26;"BT1";"BatteryHolder_Keystone_106_1x20mm";1;"Battery_Cell";;;
